rank,instruction,total_ns,total_ms,ns_per_op,iterations,defs_built
1,calculate,13083000,13.083000,654.1500,20000,160000
2,bitop,8553000,8.553000,427.6500,20000,100000
3,branch,7529500,7.529500,376.4750,20000,80000
4,ldr,6992300,6.992300,349.6150,20000,100000
5,cmp,4897800,4.897800,244.8900,20000,40000
6,adr,4835300,4.835300,241.7650,20000,20000
7,shift,4754700,4.754700,237.7350,20000,100000
8,compare_branch,4637500,4.637500,231.8750,20000,40000
9,str,4060300,4.060300,203.0150,20000,60000
10,stack,3424400,3.424400,171.2200,20000,40000
11,breakpoint,3153600,3.153600,157.6800,20000,20000
12,hint,3056000,3.056000,152.8000,20000,20000
13,ldm,2885200,2.885200,144.2600,20000,20000
14,it,2826100,2.826100,141.3050,20000,20000
15,stm,2613400,2.613400,130.6700,20000,20000
16,mov,2431200,2.431200,121.5600,20000,40000
17,tst,2260200,2.260200,113.0100,20000,40000
18,movs,1761700,1.761700,88.0850,20000,20000
19,nop,1665300,1.665300,83.2650,20000,20000
