rank,instruction_group,definition,total_ns,total_ms,avg_ns_per_exec,exec_calls,repeat_rounds,matched_mnemonics
1,branch,b,26129300,26.129300,27.3096,956780,5,b|beq|ble|blo|bne
2,ldr,ldr,18206600,18.206600,85.1253,213880,5,ldr|ldr.w
3,cmp,cmp,6508700,6.508700,30.1783,215675,5,cmp|cmp.w
4,bitop,and,6246000,6.246000,29.3550,212775,5,and|and.w|ands
5,mov,mov,6099800,6.099800,28.6161,213160,5,mov|mov.w
6,stm,stm,237100,0.237100,89.1353,2660,5,stm|stm.w
7,str,str,186000,0.186000,288.3721,645,5,str|str.w
8,movs,movs,89200,0.089200,118.9333,750,5,movs
9,calculate,sub,88800,0.088800,33.5094,2650,5,sub|sub.w|subs
10,stack,pop,83100,0.083100,395.7143,210,5,pop|pop.w
11,str,strh,82400,0.082400,343.3333,240,5,strh|strh.w
12,stack,push,78600,0.078600,365.5814,215,5,push|push.w
13,ldr,ldrh,60700,0.060700,151.7500,400,5,ldrh|ldrh.w
14,bitop,orr,53800,0.053800,149.4444,360,5,orr|orr.w|orrs
15,calculate,add,50100,0.050100,91.9266,545,5,add|add.w|adds
16,ldr,ldrb,47600,0.047600,151.1111,315,5,ldrb|ldrb.w
17,compare_branch,cbz,46600,0.046600,245.2632,190,5,cbz
18,branch,bl,42900,0.042900,90.3158,475,5,bl
19,branch,bx,26900,0.026900,94.3860,285,5,bx
20,shift,lsl,26200,0.026200,83.1746,315,5,lsl.w|lsls
21,str,strb,25700,0.025700,367.1429,70,5,strb|strb.w
22,bit_field,ubfx,24300,0.024300,405.0000,60,5,ubfx
23,shift,lsr,20600,0.020600,228.8889,90,5,lsrs
24,bitop,bic,19900,0.019900,137.2414,145,5,bic|bics
25,branch,blx,16200,0.016200,405.0000,40,5,blx
26,ldm,ldm,15000,0.015000,187.5000,80,5,ldm|ldm.w
27,hint,hint,8800,0.008800,55.0000,160,5,nop
28,nop,nop,8800,0.008800,55.0000,160,5,nop
29,compare_branch,cbnz,8400,0.008400,280.0000,30,5,cbnz
30,calculate,udiv,6900,0.006900,172.5000,40,5,udiv
31,calculate,mls,6000,0.006000,600.0000,10,5,mls
32,adr,adr,4800,0.004800,320.0000,15,5,adr
33,calculate,mul,3900,0.003900,390.0000,10,5,muls
34,extend,uxtb,2300,0.002300,41.8182,55,5,uxtb
35,calculate,rsb,2000,0.002000,200.0000,10,5,rsb.w
36,mov,mvn,1000,0.001000,200.0000,5,5,mvns
37,shift,asr,500,0.000500,100.0000,5,5,asrs
38,bitop,eor,0,0.000000,0.0000,0,5,-
39,bitop,orn,0,0.000000,0.0000,0,5,-
40,breakpoint,bkpt,0,0.000000,0.0000,0,5,-
41,calculate,adc,0,0.000000,0.0000,0,5,-
42,calculate,sbc,0,0.000000,0.0000,0,5,-
43,cmp,cmn,0,0.000000,0.0000,0,5,-
44,extend,uxth,0,0.000000,0.0000,0,5,-
45,it,it,0,0.000000,0.0000,0,5,-
46,ldr,ldrsb,0,0.000000,0.0000,0,5,-
47,ldr,ldrsh,0,0.000000,0.0000,0,5,-
48,shift,ror,0,0.000000,0.0000,0,5,-
49,shift,rrx,0,0.000000,0.0000,0,5,-
50,tst,tst,0,0.000000,0.0000,0,5,-
51,tst,teq,0,0.000000,0.0000,0,5,-
