rank,mnemonic,total_ns,total_ms,avg_ns_per_exec,exec_calls,repeat_rounds
1,b,21648400,21.648400,29.2110,741105,5
2,ldr,20579500,20.579500,96.2288,213860,5
3,cmp,7491600,7.491600,34.7638,215500,5
4,and,6721800,6.721800,31.6372,212465,5
5,beq,6633800,6.633800,31.2326,212400,5
6,mov.w,6522600,6.522600,30.6874,212550,5
7,stm,301500,0.301500,115.0763,2620,5
8,str,264300,0.264300,412.9688,640,5
9,movs,152600,0.152600,203.4667,750,5
10,bne,129000,0.129000,42.3645,3045,5
11,mov,107000,0.107000,175.4098,610,5
12,strh,98400,0.098400,656.0000,150,5
13,push,89700,0.089700,484.8649,185,5
14,subs,87300,0.087300,33.3206,2620,5
15,bl,77700,0.077700,163.5789,475,5
16,pop,63700,0.063700,374.7059,170,5
17,ldrh,62000,0.062000,281.8182,220,5
18,strh.w,49000,0.049000,544.4444,90,5
19,orr,47000,0.047000,241.0256,195,5
20,cbz,46700,0.046700,245.7895,190,5
21,bx,45400,0.045400,159.2982,285,5
22,adds,42600,0.042600,167.0588,255,5
23,ldrb.w,39900,0.039900,306.9231,130,5
24,ldrb,39900,0.039900,215.6757,185,5
25,ubfx,37200,0.037200,620.0000,60,5
26,strb.w,34800,0.034800,535.3846,65,5
27,ands,34200,0.034200,228.0000,150,5
28,cmp.w,31700,0.031700,181.1429,175,5
29,ldrh.w,31400,0.031400,174.4444,180,5
30,blx,28200,0.028200,705.0000,40,5
31,push.w,28200,0.028200,940.0000,30,5
32,lsls,26900,0.026900,269.0000,100,5
33,add.w,26800,0.026800,124.6512,215,5
34,bic,26200,0.026200,218.3333,120,5
35,lsl.w,25800,0.025800,120.0000,215,5
36,lsrs,23900,0.023900,265.5556,90,5
37,stm.w,21500,0.021500,537.5000,40,5
38,orrs,20600,0.020600,171.6667,120,5
39,pop.w,20300,0.020300,507.5000,40,5
40,add,17100,0.017100,228.0000,75,5
41,blo,14500,0.014500,69.0476,210,5
42,mls,14400,0.014400,1440.0000,10,5
43,ldm.w,14400,0.014400,480.0000,30,5
44,cbnz,13700,0.013700,456.6667,30,5
45,nop,11800,0.011800,73.7500,160,5
46,udiv,11000,0.011000,275.0000,40,5
47,muls,10000,0.010000,1000.0000,10,5
48,and.w,9300,0.009300,58.1250,160,5
49,adr,8500,0.008500,566.6667,15,5
50,sub.w,8400,0.008400,840.0000,10,5
51,orr.w,7400,0.007400,164.4444,45,5
52,ldm,7200,0.007200,144.0000,50,5
53,ldr.w,6200,0.006200,310.0000,20,5
54,sub,6100,0.006100,305.0000,20,5
55,strb,6100,0.006100,1220.0000,5,5
56,movw,6000,0.006000,133.3333,45,5
57,rsb.w,4400,0.004400,440.0000,10,5
58,uxtb,4300,0.004300,78.1818,55,5
59,ble,4100,0.004100,205.0000,20,5
60,str.w,4000,0.004000,800.0000,5,5
61,bics,3300,0.003300,132.0000,25,5
62,mvns,2000,0.002000,400.0000,5,5
63,asrs,1800,0.001800,360.0000,5,5
